Предметы;Товары;Товары с движением;Товары с продажами;% товаров с движением;% товаров с продажами;Продажи;Выручка;Продавцы;Продавцы с продажами;% продавцов с продажами;Минимальная цена;Максимальная цена;Средняя цена;Медианная цена;Минимальная цена с продажами;Максимальная цена с продажами;Средняя цена с продажами;Медианная цена с продажами;Средний рейтинг;Средний % выкупа;Средний % выкупа с учетом возвратов
Спортивный товар / Карабины;5119;1719;1275;33,580777495604615;24,907208439148274;38481;10832285;515;230;44,66019417475728;50;76000;732,3889431529595;361;68;6281;381,2470588235294;279;4,678809244026636;94,52;94,29
Обувь / Сноубутсы;3738;1471;843;39,3525949705725;22,552166934189405;7539;10908088;239;103;43,096234309623426;122;45000;1799,2926698769395;1399;217;11381;1741,7841043890867;1520;4,312711603570329;69,35;66,34
Аксессуары / Веера;6040;1282;1057;21,225165562913908;17,5;28918;10916678;445;184;41,348314606741575;52;76000;624,1417218543046;293;54;3365;458,45979186376536;315;4,188170701272773;93,05;92,68
Красота / Краски для тату;4003;500;405;12,490632025980513;10,117411941044217;9818;11170170;90;42;46,666666666666664;150;31510;1724,8783412440669;1385;193;13846;1437,911111111111;931;4,3593339176161265;93,88;93,83
Товары для малышей / Грелки детские;885;314;268;35,48022598870057;30,282485875706215;16042;11368649;178;72;40,449438202247194;182;19000;971,9627118644067;686;182;4750;676,6156716417911;599;4,499176276771005;95,24;95,07
Садовая техника / Запчасти для садовой техники;26295;3697;2529;14,059707168663245;9,61779806046777;22278;11374849;459;223;48,5838779956427;105;130000;1143,2760220574253;662;107;22300;835,6085409252669;550;4,279953167685703;94,88;94,24
Дом / Свечи религиозные;6206;2035;1541;32,79084756687077;24,830808894618112;29396;11422209;477;191;40,04192872117401;50;66500;773,7259104092814;439;75;6988;447,23750811161585;355;4,684640940454894;96,58;96,58
Аксессуары для малышей / Повязки на голову для малышей;8156;3519;2144;43,14615007356547;26,287395782246197;29725;11444113;684;333;48,68421052631579;0;19000;440,12444825895045;349;57;2000;393,28125;360;4,776472316052284;87,14;85,85
Здоровье / Бинты эластичные медицинские;3298;1219;998;36,96179502728927;30,260764099454217;40627;11527448;326;151;46,31901840490798;50;49500;582,5942995755003;367;78;3828;393,8867735470942;306,5;4,665951742627346;96,21;96,13
Здоровье / Бандажи послеоперационные;1564;737;474;47,12276214833759;30,30690537084399;7240;11558003;190;108;56,8421052631579;97;20054;2303,333120204604;2197;237;7590;2071,3227848101264;1984;4,341176470588235;79,33;75,67
Для праздника / Конверты для денег;15943;3729;2254;23,389575362227937;14,137866148152794;39645;11560590;681;274;40,23494860499266;0;19000;1615,0176880135482;345;50;2917;257,7941437444543;231;4,726937269372693;94,46;94,19
